timestamp,date,word_id,username,level,is_correct
2026-02-01 22:38:33,2026-02-01,34,areum4204,1,1
2026-02-01 22:38:38,2026-02-01,75,areum4204,2,1
2026-02-01 22:44:58,2026-02-01,84,areum4204,3,1
2026-02-01 22:45:08,2026-02-01,5,areum4204,1,1
2026-02-01 22:57:21,2026-02-01,99,areum4204,3,1
2026-02-01 23:01:42,2026-02-01,29,areum4204,1,1
2026-02-01 23:03:14,2026-02-01,41,areum4204,1,1
2026-02-01 23:03:19,2026-02-01,88,areum4204,3,1
2026-02-01 23:03:25,2026-02-01,21,areum4204,1,0
2026-02-01 23:03:33,2026-02-01,57,areum4204,2,1
2026-02-01 23:03:40,2026-02-01,21,areum4204,1,1
2026-02-01 23:06:31,2026-02-01,21,areum4204,1,1
2026-02-01 23:31:35,2026-02-01,90,areum4204,3,1
2026-02-01 23:31:40,2026-02-01,43,areum4204,1,1
2026-02-02 01:24:52,2026-02-02,21,areum4204,1,1
2026-02-02 01:25:23,2026-02-02,90,areum4204,3,0
2026-02-02 01:25:44,2026-02-02,43,areum4204,1,1
2026-02-02 01:25:51,2026-02-02,41,areum4204,1,1
2026-02-02 01:26:04,2026-02-02,90,areum4204,3,1
2026-02-02 01:29:05,2026-02-02,88,areum4204,3,1
2026-02-02 01:30:03,2026-02-02,75,areum4204,2,1
2026-02-02 07:24:39,2026-02-02,5,areum4204,1,1
2026-02-02 07:24:52,2026-02-02,34,areum4204,1,1
2026-02-02 07:24:56,2026-02-02,99,areum4204,3,1
2026-02-02 07:25:03,2026-02-02,57,areum4204,2,1
2026-02-02 07:25:10,2026-02-02,90,areum4204,3,1
2026-02-02 07:25:13,2026-02-02,84,areum4204,3,1
2026-02-02 07:25:22,2026-02-02,60,areum4204,2,1
2026-02-02 09:27:25,2026-02-02,7,areum4204,1,1
2026-02-02 09:27:28,2026-02-02,85,areum4204,3,0
2026-02-02 09:27:46,2026-02-02,85,areum4204,3,0
2026-02-02 09:27:53,2026-02-02,85,areum4204,3,1
