timestamp,date,word_id,username,level,is_correct
2026-02-01 23:21:11,2026-02-01,51,ho,2,1
2026-02-01 23:21:15,2026-02-01,93,ho,3,1
2026-02-02 00:00:11,2026-02-02,51,ho,2,1
2026-02-02 00:00:21,2026-02-02,93,ho,3,0
2026-02-02 00:00:30,2026-02-02,93,ho,3,1
2026-02-02 07:10:52,2026-02-02,17,ho,1,1
2026-02-02 07:11:08,2026-02-02,93,ho,3,1
2026-02-02 07:11:44,2026-02-02,91,ho,3,1
2026-02-02 07:11:53,2026-02-02,84,ho,3,1
2026-02-02 07:12:00,2026-02-02,50,ho,2,1
2026-02-02 07:12:09,2026-02-02,39,ho,1,1
2026-02-02 07:23:07,2026-02-02,77,ho,2,1
2026-02-02 07:30:57,2026-02-02,96,ho,3,1
2026-02-02 07:32:00,2026-02-02,59,ho,2,0
2026-02-02 07:38:21,2026-02-02,79,ho,2,1
2026-02-02 07:38:32,2026-02-02,101,ho,3,1
2026-02-02 07:38:38,2026-02-02,99,ho,3,1
2026-02-02 07:38:49,2026-02-02,59,ho,2,1
2026-02-02 07:39:21,2026-02-02,59,ho,2,1
2026-02-02 07:39:28,2026-02-02,82,ho,3,1
2026-02-02 07:39:37,2026-02-02,57,ho,2,1
2026-02-02 07:39:47,2026-02-02,66,ho,2,0
2026-02-02 07:40:00,2026-02-02,66,ho,2,1
2026-02-02 07:40:45,2026-02-02,66,ho,2,1
2026-02-02 07:40:51,2026-02-02,56,ho,2,0
2026-02-02 07:48:34,2026-02-02,56,ho,2,1
2026-02-02 07:48:40,2026-02-02,98,ho,3,1
2026-02-02 07:48:45,2026-02-02,78,ho,2,1
2026-02-02 07:48:52,2026-02-02,92,ho,3,0
2026-02-02 07:49:03,2026-02-02,92,ho,3,0
2026-02-02 07:49:13,2026-02-02,92,ho,3,1
2026-02-02 08:01:40,2026-02-02,92,ho,3,1
2026-02-02 08:01:49,2026-02-02,97,ho,3,1
2026-02-02 08:01:55,2026-02-02,72,ho,2,1
